Pasture,Exclosure,Transect,Grazed,Ecologial Site,1989 Burn,1994 Burn,2017 Burn,2018 Burn,Species,YR2011,YR2014,YR2017,YR2020
2S,35A,U2,No,"SLU 12-16"" Pz, Baboquivari Soil",No,No,No,No,APTE,0,0,0,19
6A,40,G1,Yes,"SLU 12-16"" Pz, Diaspar Soil",No,No,No,No,APTE,18,6,20,18
2N,5,G1,Yes,"SLU 12-16"" Pz, Sasabe Soil",No,No,No,No,GUSA,0,2,20,18
2S,1A,U1,No,"SLU 12-16"" Pz, Baboquivari Soil",No,No,No,No,APTE,6,0,10,18
2S,35A,U2,No,"SLU 12-16"" Pz, Baboquivari Soil",No,No,No,No,ERLE,1,2,5,18
UA Cell B,42,U2,No,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,GUSA,0,0,22,17
4,9,U1,No,"LU 12-16"" Pz, Eloma Soil",Yes,No,No,No,CEFL,1,6,20,17
4,11,U1,No,"LU 12-16"" Pz, Whitehouse Soil",No,No,No,No,PRVE,0,3,20,17
4,9,G2,Yes,"LU 12-16"" Pz, Eloma Soil",Yes,No,No,No,ERLE,11,6,17,17
5 Mid,12,U1,No,"SLU 10-13"" Pz, Tubac Soil",No,No,No,No,EPTR,20,10,15,17
4,9,U1,No,"LU 12-16"" Pz, Eloma Soil",Yes,No,No,No,ERLE,4,7,13,17
2S,1A,U2,No,"SLU 12-16"" Pz, Baboquivari Soil",No,No,No,No,ERCU,14,1,13,17
UA Cell B,42,G2,Yes,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,ERLE,7,6,7,17
UA Cell E,28,U1,No,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,OTHSHRUB,0,0,5,17
2S,35A,U2,No,"SLU 12-16"" Pz, Baboquivari Soil",No,No,No,No,GUSA,3,6,3,17
8,13,G2,Yes,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,ERLE,23,30,23,16
5 Mid,12,U2,No,"SLU 10-13"" Pz, Tubac Soil",No,No,No,No,OPLE,10,19,16,16
8,13,G1,Yes,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,ERLE,23,29,15,16
6D,22,U1,No,"SLD 12-16"" Pz, Combate Soil",No,No,No,No,HECO,6,0,15,16
2N,5,U1,No,"SLU 12-16"" Pz, Sasabe Soil",No,No,No,No,JAGR,0,0,15,16
UA Cell D,23,U2,No,"SLU 12-16"" Pz, Baboquivari Soil",No,Yes,No,No,CAER,39,6,6,16
6A,40,G2,Yes,"SLU 12-16"" Pz, Diaspar Soil",No,No,No,No,DICA,9,6,6,16
2S,35A,U1,No,"SLU 12-16"" Pz, Baboquivari Soil",No,No,No,No,ERLE,6,4,5,16
6D,7,G1,Yes,"SLU 12-16"" Pz, Diaspar Soil",No,No,No,No,ERLE,5,4,1,16
UA Cell B,42,G2,Yes,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,OPEN,0,1,12,15
2S,35B,U1,No,"SLU 12-16"" Pz, Baboquivari Soil",No,No,No,No,DICA,18,13,7,15
2N,2B,G2,Yes,"SLU 12-16"" Pz, Diaspar Soil",No,No,No,No,ARIS,1,3,5,15
2N,5,U1,No,"SLU 12-16"" Pz, Sasabe Soil",No,No,No,No,POGR,0,0,3,15
6A,40,U2,No,"SLU 12-16"" Pz, Diaspar Soil",No,No,No,No,OPSP,0,0,2,15
8,13,U1,No,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,ERLE,19,24,33,14
