Pasture,Exclosure,Transect,Grazed,Ecologial Site,1989 Burn,1994 Burn,2017 Burn,2018 Burn,Species,YR2011,YR2014,YR2017,YR2020
UA Cell B,42,G2,Yes,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,COPA,0,0,0,0
UA Cell B,42,G2,Yes,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,CORO,0,0,0,0
UA Cell B,42,G2,Yes,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,ECHI,0,0,0,0
UA Cell B,42,G2,Yes,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,ENDE,0,0,0,0
UA Cell B,42,G2,Yes,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,ENFR,0,0,0,0
UA Cell B,42,G2,Yes,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,EPTR,0,0,0,0
UA Cell B,42,G2,Yes,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,ERIN,0,0,0,0
UA Cell B,42,G2,Yes,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,ERIO,0,0,0,0
UA Cell B,42,G2,Yes,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,ERPU,0,0,0,0
UA Cell B,42,G2,Yes,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,ERWR,0,0,0,0
UA Cell B,42,G2,Yes,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,FEWI,0,0,0,0
UA Cell B,42,G2,Yes,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,FOSP,0,0,0,0
UA Cell B,42,G2,Yes,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,FRAM,0,0,0,0
UA Cell B,42,G2,Yes,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,GUSA,0,0,0,0
UA Cell B,42,G2,Yes,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,HALA,0,0,0,0
UA Cell B,42,G2,Yes,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,HASP,0,0,0,0
UA Cell B,42,G2,Yes,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,HECO,0,0,0,0
UA Cell B,42,G2,Yes,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,HIBE,0,0,0,0
UA Cell B,42,G2,Yes,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,HIBI,0,0,0,0
UA Cell B,42,G2,Yes,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,JAGR,0,0,0,0
UA Cell B,42,G2,Yes,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,KRGR,0,0,0,0
UA Cell B,42,G2,Yes,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,KRPA,0,0,0,0
UA Cell B,42,G2,Yes,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,LECO,0,0,0,0
UA Cell B,42,G2,Yes,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,LEDU,0,0,0,0
UA Cell B,42,G2,Yes,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,LYAN,0,0,0,0
UA Cell B,42,G2,Yes,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,LYCI,0,0,0,0
UA Cell B,42,G2,Yes,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,LYPA,0,0,0,0
UA Cell B,42,G2,Yes,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,LYPH,0,0,0,0
UA Cell B,42,G2,Yes,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,LYTO,0,0,0,0
UA Cell B,42,G2,Yes,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,MAMM,0,0,0,0
UA Cell B,42,G2,Yes,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,MIBI,0,0,0,0
UA Cell B,42,G2,Yes,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,MIDY,0,0,0,0
UA Cell B,42,G2,Yes,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,MUAR,0,0,0,0
UA Cell B,42,G2,Yes,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,OPAC,0,0,0,0
UA Cell B,42,G2,Yes,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,OPAR,0,0,0,0
UA Cell B,42,G2,Yes,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,OPFU,0,0,0,0
UA Cell B,42,G2,Yes,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,OPLE,0,0,0,0
UA Cell B,42,G2,Yes,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,OPSP,0,0,0,0
UA Cell B,42,G2,Yes,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,OPVE,0,0,0,0
UA Cell B,42,G2,Yes,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,OTHERPG,0,0,0,0
UA Cell B,42,G2,Yes,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,OTHSHRUB,0,0,0,0
UA Cell B,42,G2,Yes,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,PAMU,0,0,0,0
UA Cell B,42,G2,Yes,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,PECI,0,0,0,0
UA Cell B,42,G2,Yes,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,SIHY,0,0,0,0
UA Cell B,42,G2,Yes,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,SPOR,0,0,0,0
UA Cell B,42,G2,Yes,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,YUEL,0,0,0,0
UA Cell B,42,G2,Yes,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,ZIOB,0,0,0,0
UA Cell B,42,G2,Yes,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,ZIPU,0,0,0,0
UA Cell B,42,U1,No,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,ACAN,0,0,0,0
UA Cell B,42,U1,No,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,ACCO,0,0,0,0
UA Cell B,42,U1,No,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,ACGR,0,0,0,0
UA Cell B,42,U1,No,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,AGAV,0,0,0,0
UA Cell B,42,U1,No,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,ALWR,0,0,0,0
UA Cell B,42,U1,No,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,ANBA,0,0,0,0
UA Cell B,42,U1,No,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,APTE,0,0,0,0
UA Cell B,42,U1,No,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,ARIS,0,0,0,0
UA Cell B,42,U1,No,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,ATCA,0,0,0,0
UA Cell B,42,U1,No,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,ATCO,0,0,0,0
UA Cell B,42,U1,No,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,BABR,0,0,0,0
UA Cell B,42,U1,No,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,BACC,0,0,0,0
UA Cell B,42,U1,No,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,BARA,0,0,0,0
UA Cell B,42,U1,No,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,BASA,0,0,0,0
UA Cell B,42,U1,No,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,BOCH,0,0,0,0
UA Cell B,42,U1,No,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,BOCU,0,0,0,0
UA Cell B,42,U1,No,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,BOFI,0,0,0,0
UA Cell B,42,U1,No,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,BOHI,0,0,0,0
UA Cell B,42,U1,No,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,BORO,0,0,0,0
UA Cell B,42,U1,No,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,CAAR,0,0,0,0
UA Cell B,42,U1,No,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,CAER,0,0,0,0
UA Cell B,42,U1,No,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,CEFL,0,0,0,0
UA Cell B,42,U1,No,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,CEMI,0,0,0,0
UA Cell B,42,U1,No,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,CEPA,0,0,0,0
UA Cell B,42,U1,No,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,COPA,0,0,0,0
UA Cell B,42,U1,No,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,CORO,0,0,0,0
UA Cell B,42,U1,No,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,ECHI,0,0,0,0
UA Cell B,42,U1,No,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,ENDE,0,0,0,0
UA Cell B,42,U1,No,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,ENFR,0,0,0,0
UA Cell B,42,U1,No,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,EPTR,0,0,0,0
UA Cell B,42,U1,No,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,ERCU,0,0,0,0
UA Cell B,42,U1,No,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,ERIN,0,0,0,0
UA Cell B,42,U1,No,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,ERIO,0,0,0,0
UA Cell B,42,U1,No,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,ERLE,0,0,0,0
UA Cell B,42,U1,No,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,ERPU,0,0,0,0
UA Cell B,42,U1,No,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,ERWR,0,0,0,0
UA Cell B,42,U1,No,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,FEWI,0,0,0,0
UA Cell B,42,U1,No,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,FOSP,0,0,0,0
UA Cell B,42,U1,No,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,FRAM,0,0,0,0
UA Cell B,42,U1,No,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,GUSA,0,0,0,0
UA Cell B,42,U1,No,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,HALA,0,0,0,0
UA Cell B,42,U1,No,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,HASP,0,0,0,0
UA Cell B,42,U1,No,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,HIBE,0,0,0,0
UA Cell B,42,U1,No,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,HIBI,0,0,0,0
UA Cell B,42,U1,No,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,JAGR,0,0,0,0
UA Cell B,42,U1,No,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,KRGR,0,0,0,0
UA Cell B,42,U1,No,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,KRPA,0,0,0,0
UA Cell B,42,U1,No,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,LECO,0,0,0,0
UA Cell B,42,U1,No,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,LEDU,0,0,0,0
UA Cell B,42,U1,No,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,LYAN,0,0,0,0
UA Cell B,42,U1,No,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,LYCI,0,0,0,0
UA Cell B,42,U1,No,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,LYPA,0,0,0,0
UA Cell B,42,U1,No,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,LYPH,0,0,0,0
UA Cell B,42,U1,No,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,LYTO,0,0,0,0
UA Cell B,42,U1,No,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,MAMM,0,0,0,0
UA Cell B,42,U1,No,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,MIBI,0,0,0,0
UA Cell B,42,U1,No,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,MIDY,0,0,0,0
UA Cell B,42,U1,No,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,MUAR,0,0,0,0
UA Cell B,42,U1,No,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,OPAC,0,0,0,0
UA Cell B,42,U1,No,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,OPAR,0,0,0,0
UA Cell B,42,U1,No,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,OPEN,0,0,0,0
UA Cell B,42,U1,No,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,OPFU,0,0,0,0
UA Cell B,42,U1,No,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,OPLE,0,0,0,0
UA Cell B,42,U1,No,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,OPVE,0,0,0,0
UA Cell B,42,U1,No,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,OTHERPG,0,0,0,0
UA Cell B,42,U1,No,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,OTHSHRUB,0,0,0,0
UA Cell B,42,U1,No,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,PAMU,0,0,0,0
UA Cell B,42,U1,No,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,PECI,0,0,0,0
UA Cell B,42,U1,No,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,SEMA,0,0,0,0
UA Cell B,42,U1,No,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,SIHY,0,0,0,0
UA Cell B,42,U1,No,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,SPOR,0,0,0,0
UA Cell B,42,U1,No,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,YUEL,0,0,0,0
UA Cell B,42,U1,No,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,ZIOB,0,0,0,0
UA Cell B,42,U1,No,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,ZIPU,0,0,0,0
UA Cell B,42,U2,No,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,ACAN,0,0,0,0
UA Cell B,42,U2,No,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,ACCO,0,0,0,0
UA Cell B,42,U2,No,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,ACGR,0,0,0,0
UA Cell B,42,U2,No,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,AGAV,0,0,0,0
UA Cell B,42,U2,No,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,ALWR,0,0,0,0
UA Cell B,42,U2,No,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,ANBA,0,0,0,0
UA Cell B,42,U2,No,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,APTE,0,0,0,0
UA Cell B,42,U2,No,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,ARIS,0,0,0,0
UA Cell B,42,U2,No,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,ATCA,0,0,0,0
UA Cell B,42,U2,No,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,ATCO,0,0,0,0
UA Cell B,42,U2,No,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,BABR,0,0,0,0
UA Cell B,42,U2,No,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,BACC,0,0,0,0
UA Cell B,42,U2,No,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,BARA,0,0,0,0
UA Cell B,42,U2,No,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,BASA,0,0,0,0
UA Cell B,42,U2,No,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,BOCH,0,0,0,0
UA Cell B,42,U2,No,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,BOCU,0,0,0,0
UA Cell B,42,U2,No,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,BOFI,0,0,0,0
UA Cell B,42,U2,No,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,BOHI,0,0,0,0
UA Cell B,42,U2,No,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,BORO,0,0,0,0
UA Cell B,42,U2,No,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,CAAR,0,0,0,0
UA Cell B,42,U2,No,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,CAER,0,0,0,0
UA Cell B,42,U2,No,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,CEFL,0,0,0,0
UA Cell B,42,U2,No,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,CEMI,0,0,0,0
UA Cell B,42,U2,No,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,CEPA,0,0,0,0
UA Cell B,42,U2,No,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,COPA,0,0,0,0
UA Cell B,42,U2,No,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,CORO,0,0,0,0
UA Cell B,42,U2,No,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,ECHI,0,0,0,0
UA Cell B,42,U2,No,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,ENDE,0,0,0,0
UA Cell B,42,U2,No,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,ENFR,0,0,0,0
UA Cell B,42,U2,No,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,EPTR,0,0,0,0
UA Cell B,42,U2,No,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,ERCU,0,0,0,0
UA Cell B,42,U2,No,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,ERIN,0,0,0,0
UA Cell B,42,U2,No,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,ERIO,0,0,0,0
UA Cell B,42,U2,No,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,ERPU,0,0,0,0
UA Cell B,42,U2,No,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,ERWR,0,0,0,0
UA Cell B,42,U2,No,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,FEWI,0,0,0,0
UA Cell B,42,U2,No,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,FOSP,0,0,0,0
UA Cell B,42,U2,No,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,FRAM,0,0,0,0
UA Cell B,42,U2,No,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,HALA,0,0,0,0
UA Cell B,42,U2,No,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,HASP,0,0,0,0
UA Cell B,42,U2,No,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,HECO,0,0,0,0
UA Cell B,42,U2,No,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,HIBE,0,0,0,0
UA Cell B,42,U2,No,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,HIBI,0,0,0,0
UA Cell B,42,U2,No,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,KRGR,0,0,0,0
UA Cell B,42,U2,No,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,KRPA,0,0,0,0
UA Cell B,42,U2,No,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,LECO,0,0,0,0
UA Cell B,42,U2,No,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,LEDU,0,0,0,0
UA Cell B,42,U2,No,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,LYAN,0,0,0,0
UA Cell B,42,U2,No,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,LYCI,0,0,0,0
UA Cell B,42,U2,No,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,LYPA,0,0,0,0
UA Cell B,42,U2,No,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,LYPH,0,0,0,0
UA Cell B,42,U2,No,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,LYTO,0,0,0,0
UA Cell B,42,U2,No,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,MAMM,0,0,0,0
UA Cell B,42,U2,No,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,MIBI,0,0,0,0
UA Cell B,42,U2,No,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,MIDY,0,0,0,0
UA Cell B,42,U2,No,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,MUAR,0,0,0,0
UA Cell B,42,U2,No,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,OPAC,0,0,0,0
UA Cell B,42,U2,No,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,OPAR,0,0,0,0
UA Cell B,42,U2,No,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,OPEN,0,0,0,0
UA Cell B,42,U2,No,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,OPFU,0,0,0,0
UA Cell B,42,U2,No,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,OPLE,0,0,0,0
UA Cell B,42,U2,No,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,OPSP,0,0,0,0
UA Cell B,42,U2,No,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,OPVE,0,0,0,0
UA Cell B,42,U2,No,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,OTHERPG,0,0,0,0
UA Cell B,42,U2,No,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,OTHSHRUB,0,0,0,0
UA Cell B,42,U2,No,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,PAMU,0,0,0,0
UA Cell B,42,U2,No,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,PECI,0,0,0,0
UA Cell B,42,U2,No,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,SEMA,0,0,0,0
UA Cell B,42,U2,No,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,SIHY,0,0,0,0
UA Cell B,42,U2,No,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,SPOR,0,0,0,0
UA Cell B,42,U2,No,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,YUEL,0,0,0,0
UA Cell B,42,U2,No,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,ZIOB,0,0,0,0
UA Cell B,42,U2,No,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,ZIPU,0,0,0,0
2S,1A,G1,Yes,"SLU 12-16"" Pz, Baboquivari Soil",No,No,No,No,ACAN,0,0,0,0
2S,1A,G1,Yes,"SLU 12-16"" Pz, Baboquivari Soil",No,No,No,No,ACCO,0,0,0,0
2S,1A,G1,Yes,"SLU 12-16"" Pz, Baboquivari Soil",No,No,No,No,ACGR,0,0,0,0
2S,1A,G1,Yes,"SLU 12-16"" Pz, Baboquivari Soil",No,No,No,No,AGAV,0,0,0,0
2S,1A,G1,Yes,"SLU 12-16"" Pz, Baboquivari Soil",No,No,No,No,ALWR,0,0,0,0
2S,1A,G1,Yes,"SLU 12-16"" Pz, Baboquivari Soil",No,No,No,No,ANBA,0,0,0,0
2S,1A,G1,Yes,"SLU 12-16"" Pz, Baboquivari Soil",No,No,No,No,ATCA,0,0,0,0
2S,1A,G1,Yes,"SLU 12-16"" Pz, Baboquivari Soil",No,No,No,No,ATCO,0,0,0,0
2S,1A,G1,Yes,"SLU 12-16"" Pz, Baboquivari Soil",No,No,No,No,BACC,0,0,0,0
2S,1A,G1,Yes,"SLU 12-16"" Pz, Baboquivari Soil",No,No,No,No,BARA,0,0,0,0
2S,1A,G1,Yes,"SLU 12-16"" Pz, Baboquivari Soil",No,No,No,No,BASA,0,0,0,0
2S,1A,G1,Yes,"SLU 12-16"" Pz, Baboquivari Soil",No,No,No,No,BOCH,0,0,0,0
2S,1A,G1,Yes,"SLU 12-16"" Pz, Baboquivari Soil",No,No,No,No,BOCU,0,0,0,0
2S,1A,G1,Yes,"SLU 12-16"" Pz, Baboquivari Soil",No,No,No,No,BOER,0,0,0,0
2S,1A,G1,Yes,"SLU 12-16"" Pz, Baboquivari Soil",No,No,No,No,BOFI,0,0,0,0
2S,1A,G1,Yes,"SLU 12-16"" Pz, Baboquivari Soil",No,No,No,No,BOHI,0,0,0,0
2S,1A,G1,Yes,"SLU 12-16"" Pz, Baboquivari Soil",No,No,No,No,BORO,0,0,0,0
2S,1A,G1,Yes,"SLU 12-16"" Pz, Baboquivari Soil",No,No,No,No,CAAR,0,0,0,0
2S,1A,G1,Yes,"SLU 12-16"" Pz, Baboquivari Soil",No,No,No,No,CAER,0,0,0,0
2S,1A,G1,Yes,"SLU 12-16"" Pz, Baboquivari Soil",No,No,No,No,CEFL,0,0,0,0
2S,1A,G1,Yes,"SLU 12-16"" Pz, Baboquivari Soil",No,No,No,No,CEMI,0,0,0,0
2S,1A,G1,Yes,"SLU 12-16"" Pz, Baboquivari Soil",No,No,No,No,CEPA,0,0,0,0
2S,1A,G1,Yes,"SLU 12-16"" Pz, Baboquivari Soil",No,No,No,No,COPA,0,0,0,0
2S,1A,G1,Yes,"SLU 12-16"" Pz, Baboquivari Soil",No,No,No,No,ECHI,0,0,0,0
2S,1A,G1,Yes,"SLU 12-16"" Pz, Baboquivari Soil",No,No,No,No,ENDE,0,0,0,0
2S,1A,G1,Yes,"SLU 12-16"" Pz, Baboquivari Soil",No,No,No,No,ENFR,0,0,0,0
2S,1A,G1,Yes,"SLU 12-16"" Pz, Baboquivari Soil",No,No,No,No,EPTR,0,0,0,0
2S,1A,G1,Yes,"SLU 12-16"" Pz, Baboquivari Soil",No,No,No,No,ERIN,0,0,0,0
2S,1A,G1,Yes,"SLU 12-16"" Pz, Baboquivari Soil",No,No,No,No,ERIO,0,0,0,0
2S,1A,G1,Yes,"SLU 12-16"" Pz, Baboquivari Soil",No,No,No,No,ERPU,0,0,0,0
2S,1A,G1,Yes,"SLU 12-16"" Pz, Baboquivari Soil",No,No,No,No,ERWR,0,0,0,0
2S,1A,G1,Yes,"SLU 12-16"" Pz, Baboquivari Soil",No,No,No,No,FEWI,0,0,0,0
2S,1A,G1,Yes,"SLU 12-16"" Pz, Baboquivari Soil",No,No,No,No,FOSP,0,0,0,0
2S,1A,G1,Yes,"SLU 12-16"" Pz, Baboquivari Soil",No,No,No,No,FRAM,0,0,0,0
2S,1A,G1,Yes,"SLU 12-16"" Pz, Baboquivari Soil",No,No,No,No,GUSA,0,0,0,0
2S,1A,G1,Yes,"SLU 12-16"" Pz, Baboquivari Soil",No,No,No,No,HALA,0,0,0,0
